amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(40, 20)",high,True,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,44,False,40,4,1052,416,0.9090909090909091,0.08771929824561403,0.16,0.003787878787878788,0.9122807017543859
"(40, 20)",high,True,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,37,False,31,6,4326,425,0.8378378378378378,0.06798245614035088,0.1257606490872211,0.0013850415512465374,0.9320175438596491
"(40, 20)",high,True,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,22,False,20,2,614,246,0.9090909090909091,0.07518796992481203,0.13888888888888887,0.003246753246753247,0.924812030075188
"(40, 20)",high,True,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,21,False,15,6,3130,251,0.7142857142857143,0.05639097744360902,0.10452961672473866,0.001913265306122449,0.943609022556391
"(40, 20)",high,True,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,20,True,17,3,261,97,0.85,0.14912280701754385,0.25373134328358204,0.011363636363636364,0.8508771929824561
"(40, 20)",high,True,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,20,False,13,7,1391,101,0.65,0.11403508771929824,0.19402985074626863,0.005007153075822604,0.8859649122807017
"(40, 20)",high,True,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,15,False,15,0,360,129,1.0,0.10416666666666667,0.18867924528301885,0.0,0.8958333333333334
"(40, 20)",high,True,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,13,False,13,0,1452,131,1.0,0.09027777777777778,0.1656050955414013,0.0,0.9097222222222222
"(40, 20)",high,True,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,8,False,8,0,210,76,1.0,0.09523809523809523,0.17391304347826084,0.0,0.9047619047619048
"(40, 20)",high,True,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,6,False,6,0,1050,78,1.0,0.07142857142857142,0.13333333333333333,0.0,0.9285714285714286
"(40, 20)",high,True,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,6,False,6,0,90,30,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
"(40, 20)",high,True,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,6,False,6,0,468,30,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
"(40, 20)",high,True,0.02,86,True,lateralization,mc_w,0.012909944487358,312,5,False,5,0,216,91,1.0,0.052083333333333336,0.09900990099009901,0.0,0.9479166666666666
"(40, 20)",high,True,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,3,False,3,0,892,93,1.0,0.03125,0.06060606060606061,0.0,0.96875
"(40, 20)",high,True,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,5,False,5,0,126,51,1.0,0.08928571428571429,0.1639344262295082,0.0,0.9107142857142857
"(40, 20)",high,True,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,3,False,3,0,646,53,1.0,0.05357142857142857,0.10169491525423728,0.0,0.9464285714285714
"(40, 20)",high,True,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,3,False,3,0,54,21,1.0,0.125,0.2222222222222222,0.0,0.875
"(40, 20)",high,True,0.02,31,False,lateralization,mc_w,0.012909944487358,312,3,False,3,0,288,21,1.0,0.125,0.2222222222222222,0.0,0.875
"(40, 20)",high,True,0.004,86,True,lateralization,mc_b,3.306878306878307e-05,1512,0,False,0,0,1056,456,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.004,86,False,lateralization,mc_b,1.0442773600668338e-05,4788,0,False,0,0,4332,456,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.004,64,True,lateralization,mc_b,5.668934240362812e-05,882,0,False,0,0,616,266,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.004,64,False,lateralization,mc_b,1.4697236919459142e-05,3402,0,False,0,0,3136,266,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.004,31,True,lateralization,mc_b,0.0001322751322751,378,0,False,0,0,264,114,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.004,31,False,lateralization,mc_b,3.306878306878307e-05,1512,0,False,0,0,1398,114,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.012,86,True,lateralization,mc_b,9.92063492063492e-05,504,0,False,0,0,360,144,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,0,False,0,0,1452,144,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,0,False,0,0,210,84,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,0,False,0,0,1050,84,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,1,False,1,0,90,35,1.0,0.027777777777777776,0.05405405405405406,0.0,0.9722222222222222
"(40, 20)",high,True,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,0,False,0,0,468,36,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,0,False,0,0,216,96,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,0,False,0,0,892,96,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.02,64,True,lateralization,mc_b,0.0002747252747252,182,1,False,1,0,126,55,1.0,0.017857142857142856,0.03508771929824561,0.0,0.9821428571428571
"(40, 20)",high,True,0.02,64,False,lateralization,mc_b,7.122507122507123e-05,702,0,False,0,0,646,56,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,True,0.02,31,True,lateralization,mc_b,0.0006410256410256,78,1,False,1,0,54,23,1.0,0.041666666666666664,0.07999999999999999,0.0,0.9583333333333334
"(40, 20)",high,True,0.02,31,False,lateralization,mc_b,0.0001602564102564,312,0,False,0,0,288,24,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,19,False,14,5,1051,442,0.7368421052631579,0.03070175438596491,0.05894736842105263,0.004734848484848485,0.9692982456140351
"(40, 20)",high,False,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,14,False,9,5,4327,447,0.6428571428571429,0.019736842105263157,0.03829787234042553,0.0011542012927054479,0.9802631578947368
"(40, 20)",high,False,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,17,False,12,5,611,254,0.7058823529411765,0.045112781954887216,0.08480565371024736,0.008116883116883116,0.9548872180451128
"(40, 20)",high,False,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,14,False,7,7,3129,259,0.5,0.02631578947368421,0.05,0.002232142857142857,0.9736842105263158
"(40, 20)",high,False,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,11,False,9,2,262,105,0.8181818181818182,0.07894736842105263,0.144,0.007575757575757576,0.9210526315789473
"(40, 20)",high,False,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,13,False,5,8,1390,109,0.38461538461538464,0.043859649122807015,0.07874015748031496,0.005722460658082976,0.956140350877193
"(40, 20)",high,False,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,8,False,8,0,360,136,1.0,0.05555555555555555,0.10526315789473684,0.0,0.9444444444444444
"(40, 20)",high,False,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,4,False,4,0,1452,140,1.0,0.027777777777777776,0.05405405405405406,0.0,0.9722222222222222
"(40, 20)",high,False,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,4,False,4,0,210,80,1.0,0.047619047619047616,0.0909090909090909,0.0,0.9523809523809523
"(40, 20)",high,False,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,2,False,2,0,1050,82,1.0,0.023809523809523808,0.046511627906976744,0.0,0.9761904761904762
"(40, 20)",high,False,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,4,False,4,0,90,32,1.0,0.1111111111111111,0.19999999999999998,0.0,0.8888888888888888
"(40, 20)",high,False,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,2,False,2,0,468,34,1.0,0.05555555555555555,0.10526315789473684,0.0,0.9444444444444444
"(40, 20)",high,False,0.02,86,True,lateralization,mc_w,0.012909944487358,312,0,False,0,0,216,96,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,0,False,0,0,892,96,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,0,False,0,0,126,56,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,0,False,0,0,646,56,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,2,False,0,2,52,24,0.0,0.0,0.0,0.037037037037037035,1.0
"(40, 20)",high,False,0.02,31,False,lateralization,mc_w,0.012909944487358,312,0,False,0,0,288,24,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.004,86,True,lateralization,mc_b,3.306878306878307e-05,1512,0,False,0,0,1056,456,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.004,86,False,lateralization,mc_b,1.0442773600668338e-05,4788,0,False,0,0,4332,456,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.004,64,True,lateralization,mc_b,5.668934240362812e-05,882,0,False,0,0,616,266,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.004,64,False,lateralization,mc_b,1.4697236919459142e-05,3402,0,False,0,0,3136,266,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.004,31,True,lateralization,mc_b,0.0001322751322751,378,1,False,0,1,263,114,0.0,0.0,0.0,0.003787878787878788,1.0
"(40, 20)",high,False,0.004,31,False,lateralization,mc_b,3.306878306878307e-05,1512,0,False,0,0,1398,114,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.012,86,True,lateralization,mc_b,9.92063492063492e-05,504,0,False,0,0,360,144,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,0,False,0,0,1452,144,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,0,False,0,0,210,84,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,0,False,0,0,1050,84,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,0,False,0,0,90,36,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,0,False,0,0,468,36,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,1,False,0,1,215,96,0.0,0.0,0.0,0.004629629629629629,1.0
"(40, 20)",high,False,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,0,False,0,0,892,96,1.0,0.0,0.0,0.0,1.0
"(40, 20)",high,False,0.02,64,True,lateralization,mc_b,0.0002747252747252,182,1,False,0,1,125,56,0.0,0.0,0.0,0.007936507936507936,1.0
"(40, 20)",high,False,0.02,64,False,lateralization,mc_b,7.122507122507123e-05,702,1,False,0,1,645,56,0.0,0.0,0.0,0.0015479876160990713,1.0
"(40, 20)",high,False,0.02,31,True,lateralization,mc_b,0.0006410256410256,78,1,False,0,1,53,24,0.0,0.0,0.0,0.018518518518518517,1.0
"(40, 20)",high,False,0.02,31,False,lateralization,mc_b,0.0001602564102564,312,1,False,0,1,287,24,0.0,0.0,0.0,0.003472222222222222,1.0
"(40, 20)",low,True,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,62,False,59,3,1053,397,0.9516129032258065,0.12938596491228072,0.2277992277992278,0.002840909090909091,0.8706140350877193
"(40, 20)",low,True,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,61,False,47,14,4318,409,0.7704918032786885,0.10307017543859649,0.18181818181818182,0.003231763619575254,0.8969298245614035
"(40, 20)",low,True,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,44,False,37,7,609,229,0.8409090909090909,0.13909774436090225,0.23870967741935484,0.011363636363636364,0.8609022556390977
"(40, 20)",low,True,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,47,False,31,16,3120,235,0.6595744680851063,0.11654135338345864,0.19808306709265175,0.00510204081632653,0.8834586466165414
"(40, 20)",low,True,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,32,True,23,9,255,91,0.71875,0.20175438596491227,0.3150684931506849,0.03409090909090909,0.7982456140350878
"(40, 20)",low,True,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,34,False,16,18,1380,98,0.47058823529411764,0.14035087719298245,0.2162162162162162,0.012875536480686695,0.8596491228070176
"(40, 20)",low,True,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,24,False,22,2,358,122,0.9166666666666666,0.1527777777777778,0.2619047619047619,0.005555555555555556,0.8472222222222222
"(40, 20)",low,True,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,16,False,14,2,1450,130,0.875,0.09722222222222222,0.17500000000000002,0.0013774104683195593,0.9027777777777778
"(40, 20)",low,True,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,15,True,13,2,208,71,0.8666666666666667,0.15476190476190477,0.26262626262626265,0.009523809523809525,0.8452380952380952
"(40, 20)",low,True,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,11,False,9,2,1048,75,0.8181818181818182,0.10714285714285714,0.18947368421052632,0.0019047619047619048,0.8928571428571429
"(40, 20)",low,True,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,11,True,9,2,88,27,0.8181818181818182,0.25,0.38297872340425526,0.022222222222222223,0.75
"(40, 20)",low,True,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,14,False,8,6,462,28,0.5714285714285714,0.2222222222222222,0.32,0.01282051282051282,0.7777777777777778
"(40, 20)",low,True,0.02,86,True,lateralization,mc_w,0.012909944487358,312,9,False,9,0,216,87,1.0,0.09375,0.17142857142857143,0.0,0.90625
"(40, 20)",low,True,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,5,False,5,0,892,91,1.0,0.052083333333333336,0.09900990099009901,0.0,0.9479166666666666
"(40, 20)",low,True,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,6,False,6,0,126,50,1.0,0.10714285714285714,0.19354838709677416,0.0,0.8928571428571429
"(40, 20)",low,True,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,5,False,5,0,646,51,1.0,0.08928571428571429,0.1639344262295082,0.0,0.9107142857142857
"(40, 20)",low,True,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,3,False,3,0,54,21,1.0,0.125,0.2222222222222222,0.0,0.875
"(40, 20)",low,True,0.02,31,False,lateralization,mc_w,0.012909944487358,312,5,False,3,2,286,21,0.6,0.125,0.20689655172413793,0.006944444444444444,0.875
"(40, 20)",low,True,0.004,86,True,lateralization,mc_b,3.306878306878307e-05,1512,3,False,3,0,1056,453,1.0,0.006578947368421052,0.013071895424836602,0.0,0.993421052631579
"(40, 20)",low,True,0.004,86,False,lateralization,mc_b,1.0442773600668338e-05,4788,0,False,0,0,4332,456,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,True,0.004,64,True,lateralization,mc_b,5.668934240362812e-05,882,6,False,6,0,616,260,1.0,0.022556390977443608,0.04411764705882353,0.0,0.9774436090225563
"(40, 20)",low,True,0.004,64,False,lateralization,mc_b,1.4697236919459142e-05,3402,1,False,1,0,3136,265,1.0,0.0037593984962406013,0.00749063670411985,0.0,0.9962406015037594
"(40, 20)",low,True,0.004,31,True,lateralization,mc_b,0.0001322751322751,378,0,False,0,0,264,114,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,True,0.004,31,False,lateralization,mc_b,3.306878306878307e-05,1512,0,False,0,0,1398,114,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,True,0.012,86,True,lateralization,mc_b,9.92063492063492e-05,504,4,False,4,0,360,140,1.0,0.027777777777777776,0.05405405405405406,0.0,0.9722222222222222
"(40, 20)",low,True,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,1,False,1,0,1452,143,1.0,0.006944444444444444,0.013793103448275862,0.0,0.9930555555555556
"(40, 20)",low,True,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,3,False,3,0,210,81,1.0,0.03571428571428571,0.0689655172413793,0.0,0.9642857142857143
"(40, 20)",low,True,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,3,False,3,0,1050,81,1.0,0.03571428571428571,0.0689655172413793,0.0,0.9642857142857143
"(40, 20)",low,True,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,1,False,1,0,90,35,1.0,0.027777777777777776,0.05405405405405406,0.0,0.9722222222222222
"(40, 20)",low,True,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,0,False,0,0,468,36,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,True,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,3,False,3,0,216,93,1.0,0.03125,0.06060606060606061,0.0,0.96875
"(40, 20)",low,True,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,0,False,0,0,892,96,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,True,0.02,64,True,lateralization,mc_b,0.0002747252747252,182,2,False,2,0,126,54,1.0,0.03571428571428571,0.0689655172413793,0.0,0.9642857142857143
"(40, 20)",low,True,0.02,64,False,lateralization,mc_b,7.122507122507123e-05,702,0,False,0,0,646,56,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,True,0.02,31,True,lateralization,mc_b,0.0006410256410256,78,0,False,0,0,54,24,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,True,0.02,31,False,lateralization,mc_b,0.0001602564102564,312,0,False,0,0,288,24,1.0,0.0,0.0,0.0,1.0
"(40, 20)",low,False,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,84,True,72,12,1044,384,0.8571428571428571,0.15789473684210525,0.26666666666666666,0.011363636363636364,0.8421052631578947
"(40, 20)",low,False,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,70,False,57,13,4319,399,0.8142857142857143,0.125,0.21673003802281368,0.0030009233610341643,0.875
"(40, 20)",low,False,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,62,True,58,4,612,208,0.9354838709677419,0.21804511278195488,0.3536585365853659,0.006493506493506494,0.7819548872180451
"(40, 20)",low,False,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,52,False,46,6,3130,220,0.8846153846153846,0.17293233082706766,0.2893081761006289,0.001913265306122449,0.8270676691729323
"(40, 20)",low,False,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,28,True,24,4,260,90,0.8571428571428571,0.21052631578947367,0.33802816901408456,0.015151515151515152,0.7894736842105263
"(40, 20)",low,False,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,28,False,22,6,1392,92,0.7857142857142857,0.19298245614035087,0.30985915492957744,0.004291845493562232,0.8070175438596491
"(40, 20)",low,False,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,26,True,26,0,360,118,1.0,0.18055555555555555,0.30588235294117644,0.0,0.8194444444444444
"(40, 20)",low,False,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,16,False,16,0,1452,128,1.0,0.1111111111111111,0.19999999999999998,0.0,0.8888888888888888
"(40, 20)",low,False,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,23,True,21,2,208,63,0.9130434782608695,0.25,0.39252336448598124,0.009523809523809525,0.75
"(40, 20)",low,False,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,16,False,16,0,1050,68,1.0,0.19047619047619047,0.32,0.0,0.8095238095238095
"(40, 20)",low,False,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,11,True,11,0,90,25,1.0,0.3055555555555556,0.46808510638297873,0.0,0.6944444444444444
"(40, 20)",low,False,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,8,False,8,0,468,28,1.0,0.2222222222222222,0.3636363636363636,0.0,0.7777777777777778
"(40, 20)",low,False,0.02,86,True,lateralization,mc_w,0.012909944487358,312,14,False,14,0,216,82,1.0,0.14583333333333334,0.2545454545454546,0.0,0.8541666666666666
"(40, 20)",low,False,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,13,False,13,0,892,83,1.0,0.13541666666666666,0.23853211009174308,0.0,0.8645833333333334
"(40, 20)",low,False,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,12,True,12,0,126,44,1.0,0.21428571428571427,0.35294117647058826,0.0,0.7857142857142857
"(40, 20)",low,False,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,11,False,11,0,646,45,1.0,0.19642857142857142,0.3283582089552239,0.0,0.8035714285714286
"(40, 20)",low,False,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,5,True,5,0,54,19,1.0,0.20833333333333334,0.3448275862068966,0.0,0.7916666666666666
"(40, 20)",low,False,0.02,31,False,lateralization,mc_w,0.012909944487358,312,3,False,3,0,288,21,1.0,0.125,0.2222222222222222,0.0,0.875
"(40, 20)",low,False,0.004,86,True,lateralization,mc_b,3.306878306878307e-05,1512,12,False,12,0,1056,444,1.0,0.02631578947368421,0.05128205128205127,0.0,0.9736842105263158
"(40, 20)",low,False,0.004,86,False,lateralization,mc_b,1.0442773600668338e-05,4788,10,False,9,1,4331,447,0.9,0.019736842105263157,0.03862660944206008,0.00023084025854108956,0.9802631578947368
"(40, 20)",low,False,0.004,64,True,lateralization,mc_b,5.668934240362812e-05,882,11,False,11,0,616,255,1.0,0.041353383458646614,0.07942238267148015,0.0,0.9586466165413534
"(40, 20)",low,False,0.004,64,False,lateralization,mc_b,1.4697236919459142e-05,3402,10,False,10,0,3136,256,1.0,0.03759398496240601,0.07246376811594202,0.0,0.9624060150375939
"(40, 20)",low,False,0.004,31,True,lateralization,mc_b,0.0001322751322751,378,8,False,8,0,264,106,1.0,0.07017543859649122,0.13114754098360656,0.0,0.9298245614035088
"(40, 20)",low,False,0.004,31,False,lateralization,mc_b,3.306878306878307e-05,1512,7,False,7,0,1398,107,1.0,0.06140350877192982,0.11570247933884298,0.0,0.9385964912280702
"(40, 20)",low,False,0.012,86,True,lateralization,mc_b,9.92063492063492e-05,504,5,False,5,0,360,139,1.0,0.034722222222222224,0.06711409395973154,0.0,0.9652777777777778
"(40, 20)",low,False,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,4,False,3,1,1451,141,0.75,0.020833333333333332,0.040540540540540536,0.0006887052341597796,0.9791666666666666
"(40, 20)",low,False,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,5,False,5,0,210,79,1.0,0.05952380952380952,0.11235955056179775,0.0,0.9404761904761905
"(40, 20)",low,False,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,4,False,4,0,1050,80,1.0,0.047619047619047616,0.0909090909090909,0.0,0.9523809523809523
"(40, 20)",low,False,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,3,False,3,0,90,33,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(40, 20)",low,False,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,3,False,3,0,468,33,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(40, 20)",low,False,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,3,False,3,0,216,93,1.0,0.03125,0.06060606060606061,0.0,0.96875
"(40, 20)",low,False,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,3,False,2,1,891,94,0.6666666666666666,0.020833333333333332,0.0404040404040404,0.0011210762331838565,0.9791666666666666
"(40, 20)",low,False,0.02,64,True,lateralization,mc_b,0.0002747252747252,182,3,False,3,0,126,53,1.0,0.05357142857142857,0.10169491525423728,0.0,0.9464285714285714
"(40, 20)",low,False,0.02,64,False,lateralization,mc_b,7.122507122507123e-05,702,2,False,2,0,646,54,1.0,0.03571428571428571,0.0689655172413793,0.0,0.9642857142857143
"(40, 20)",low,False,0.02,31,True,lateralization,mc_b,0.0006410256410256,78,2,False,2,0,54,22,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(40, 20)",low,False,0.02,31,False,lateralization,mc_b,0.0001602564102564,312,1,False,1,0,288,23,1.0,0.041666666666666664,0.07999999999999999,0.0,0.9583333333333334
"(60, 30)",high,True,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,64,False,62,2,1054,394,0.96875,0.13596491228070176,0.23846153846153845,0.001893939393939394,0.8640350877192983
"(60, 30)",high,True,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,57,False,52,5,4327,404,0.9122807017543859,0.11403508771929824,0.202729044834308,0.0011542012927054479,0.8859649122807017
"(60, 30)",high,True,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,49,True,47,2,614,219,0.9591836734693877,0.17669172932330826,0.2984126984126984,0.003246753246753247,0.8233082706766918
"(60, 30)",high,True,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,45,False,37,8,3128,229,0.8222222222222222,0.13909774436090225,0.23794212218649516,0.002551020408163265,0.8609022556390977
"(60, 30)",high,True,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,32,True,25,7,257,89,0.78125,0.21929824561403508,0.3424657534246575,0.026515151515151516,0.7807017543859649
"(60, 30)",high,True,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,31,False,20,11,1387,94,0.6451612903225806,0.17543859649122806,0.27586206896551724,0.007868383404864092,0.8245614035087719
"(60, 30)",high,True,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,25,False,25,0,360,119,1.0,0.1736111111111111,0.29585798816568043,0.0,0.8263888888888888
"(60, 30)",high,True,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,19,False,19,0,1452,125,1.0,0.13194444444444445,0.23312883435582823,0.0,0.8680555555555556
"(60, 30)",high,True,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,16,True,16,0,210,68,1.0,0.19047619047619047,0.32,0.0,0.8095238095238095
"(60, 30)",high,True,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,14,False,14,0,1050,70,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
"(60, 30)",high,True,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,6,False,6,0,90,30,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
"(60, 30)",high,True,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,6,False,6,0,468,30,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
"(60, 30)",high,True,0.02,86,True,lateralization,mc_w,0.012909944487358,312,10,False,10,0,216,86,1.0,0.10416666666666667,0.18867924528301885,0.0,0.8958333333333334
"(60, 30)",high,True,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,6,False,6,0,892,90,1.0,0.0625,0.11764705882352941,0.0,0.9375
"(60, 30)",high,True,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,6,False,6,0,126,50,1.0,0.10714285714285714,0.19354838709677416,0.0,0.8928571428571429
"(60, 30)",high,True,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,4,False,4,0,646,52,1.0,0.07142857142857142,0.13333333333333333,0.0,0.9285714285714286
"(60, 30)",high,True,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,4,True,4,0,54,20,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
